card_no,bird_name,bird_name_ko,tts_text,voice_tag,review_status,source_file_name,source_vo_id,source_transcript,source_score
185,Eurasian Nuthatch,유라시아동고비,유라시아동고비입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,185_Eurasian_Nuthatch_VO_1.wav,1,Eurasian Nuthatch. These birds will often recycle old woodpecker holes as nesting sites.,75
186,Eurasian Nutcracker,유라시아잣까마귀,유라시아잣까마귀입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,186_Eurasian_Nutcracker_VO_1.wav,1,Eurasian Nutcracker. Nutcrackers have been observed traveling as far as 32 km to cash seeds.,75
187,Red Backed Shrike,붉은backed때까치,붉은backed때까치입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,187_Red_Backed_Shrike_VO_1.wav,1,Red Backed Shrike. These butcher birds use thorns and barbed wire as food storage.,75
188,Common Kingfisher,물총새,물총새입니다. 물가에서 기다리다가 빠르게 뛰어들어 물고기를 잡는 새입니다.,Jean,draft,188_Common_Kingfisher_VO_1.wav,1,Common Kingfisher. Kingfishers have a third eyelid that protects their eyes while hunting underwater.,75
189,Little Owl,금눈쇠올빼미,"금눈쇠올빼미입니다. 밤에 활동하는 맹금류로, 조용히 날아 먹이를 찾는 습성이 두드러집니다.",Jean,draft,189_Little_Owl_VO_1.wav,1,"Little Owl. This owl accompanied Athena, goddess of wisdom.",75
190,Eurasian Jay,어치,어치입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,190_Eurasian_Jay_VO_1.wav,1,Eurasian Jay. These birds plan for future needs by hoarding acorns for winter.,75
191,White Stork,황새,황새입니다. 습지와 얕은 물가에서 긴 다리와 부리를 활용해 먹이를 찾습니다.,Jean,draft,191_White_Stork_VO_1.wav,1,White Stork. Storks were symbols of life or family in multiple ancient cultures.,75
192,White Throated Dipper,흰throated물까마귀,흰throated물까마귀입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,192_White_Throated_Dipper_VO_1.wav,1,White Throated Dipper. The Dipper gets its name from the frequent bobbing motion it makes.,75
193,Black Throated Diver,검은throateddiver새,검은throateddiver새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,193_Black_Throated_Diver_VO_1.wav,1,Black Throated Diver. This northern species breeds on deep freshwater lakes within a yard of the water's edge.,75
194,Wilsons Storm Petrel,윌슨storm페트럴새,윌슨storm페트럴새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,194_Wilsons_Storm_Petrel_VO_1.wav,1,"Wilsons Storm Petrel. This is an abundant species, but most humans will never see one because they live mostly at sea.",75
195,Great Crested Grebe,뿔논병아리,뿔논병아리입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,195_Great_Crested_Grebe_VO_1.wav,1,Great Crested Grebe. Great Crested Grebe parents will choose their favorite chicks and rear them individually.,75
196,Common Little Bittern,일반작은해오라기,일반작은해오라기입니다. 습지와 얕은 물가에서 긴 다리와 부리를 활용해 먹이를 찾습니다.,Jean,draft,196_Common_Little_Bittern_VO_1.wav,1,"Common Little Bittern. At just 38 centimeters tall, this is one of the smallest herons.",75
197,Squacco Heron,squacco왜가리,squacco왜가리입니다. 습지와 얕은 물가에서 긴 다리와 부리를 활용해 먹이를 찾습니다.,Jean,draft,197_Squacco_Heron_VO_1.wav,1,"Squacco Heron. In mating displays, male Squacco Herons erect their long showy plume feathers.",75
198,Savis Warbler,savis워블러,savis워블러입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,198_Savis_Warbler_VO_1.wav,1,"Paolo Savi is called the father of Italian geology, but he was also an ornithologist.",60
199,Mute Swan,mute고니,mute고니입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,199_Mute_Swan_VO_1.wav,1,Mute Swan. The Mute Swan earned its name because it is less vocal than other species.,75
200,Grey Heron,왜가리,왜가리입니다. 습지와 얕은 물가에서 긴 다리와 부리를 활용해 먹이를 찾습니다.,Jean,draft,200_Grey_Heron_VO_1.wav,1,Grey Heron. These large herons have 19 vertebrae in their necks.,75
201,Common Cuckoo 281235Xc,일반뻐꾸기,일반뻐꾸기입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,201_Common_Cuckoo_VO_1.wav,1,Common Cuckoo. These brood parasites eggs can match host species eggs in color and pattern.,75
202,Dunnock,dunnock새,dunnock새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,202_Dunnock_VO_1.wav,1,Dunnock. The chicks in a single nest of Dunnocks often have different fathers.,75
203,Black Redstart,검은딱새,검은딱새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,203_Black_Redstart_VO_1.wav,1,"Black Redstart, native to mountains, this bird moved into bombed areas following World War II.",75
204,Lesser Whitethroat,작은whitethroat새,작은whitethroat새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,204_Lesser_Whitethroat_VO_1.wav,1,Lesser Whitethroat. The genus name Silvia means Woodland sprite.,75
205,Common Goldeneye,일반흰죽지오리,일반흰죽지오리입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,205_Common_Goldeneye_VO_1.wav,1,Common Goldeneye. Golden eyes do not excavate nest holes. They look for natural cavities or old woodpecker nests.,75
206,Red Legged Partridge,붉은leggedpartridge새,붉은leggedpartridge새입니다. 주로 땅 위에서 생활하며 풀숲과 덤불 사이를 빠르게 오갑니다.,Jean,draft,206_Red_legged_Partridge_VO_1.wav,1,Red legged Partridge. Partridges nest on the ground. They don't generally roost in pear trees.,75
207,Theklas Lark,theklas종다리,theklas종다리입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,207_Theklas_Lark_VO_1.wav,1,Theklas Lark was named by German zoologist Alfred Brem after his sister.,75
208,European Roller,europeanroller새,europeanroller새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,208_European_Roller_VO_1.wav,1,European Roller. European Roller chicks will vomit on themselves to deter nearby predators.,75
209,Eurasian Golden Oriole,유라시아금빛꾀꼬리,유라시아금빛꾀꼬리입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,209_Eurasian_Golden_Oriole_VO_1.wav,1,Eurasian Golden Oriole. This bird builds a cup-shaped nest suspended under a branch high in a tree.,75
210,Eurasian Tree Sparrow,유라시아tree참새,유라시아tree참새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,210_Eurasian_Tree_Sparrowt_VO_1.wav,1,Eurasian Tree Sparrowt. A traditional Japanese dance was inspired by the fluttering of the tree sparrow.,75
211,European Honey Buzzard,europeanhoneybuzzard새,europeanhoneybuzzard새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,211_European_Honey_Buzzard_VO_1.wav,1,European Honey Buzzard. This species possesses long toes and claws to rake and excavate wasp nests.,75
212,Great Tit,큰tit새,큰tit새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,212_Great_Tit_VO_1.wav,1,Great Tit. Great tits have been known to use conifer needles as tools to pull insect larvae out of a tree.,75
213,Hawfinch,hawfinch새,hawfinch새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,213_Hawfinch_VO_1.wav,1,Hawfinch. These birds can be difficult to see because they favor high branches.,75
214,Bullfinch,bullfinch새,bullfinch새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,214_Bullfinch_VO_1.wav,1,Bullfinch. The Bullfinch feeds on the buds of fruit trees and is considered a pest in orchards.,75
215,Bluethroat,bluethroat새,bluethroat새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,215_Bluethroat_VO_1.wav,1,Bluethroat. The species named Svekika comes from the male's colors matching the Swedish flag.,75
216,Common Nightingale,일반nightingale새,일반nightingale새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,216_Common_Nightingale_VO_1.wav,1,Common Nightingale. Nightingale's song has been called one of the most beautiful sounds of nature.,75
217,European Robin,european로빈,european로빈입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,217_European_Robin_VO_1.wav,1,European Robin. Folklore says the good or bad fortune you bring to a Robin will come back to you.,75
218,White Backed Woodpecker,흰backed딱따구리,흰backed딱따구리입니다. 나무줄기를 타고 오르며 부리로 두드려 곤충이나 수액을 찾습니다.,Jean,draft,218_White_Backed_Woodpecker_VO_1.wav,1,White Backed Woodpecker. This bird likes large forests with many dead trees and will follow forest fires and insect infestations.,75
219,Black Woodpecker 286205Xc,검은딱따구리,검은딱따구리입니다. 나무줄기를 타고 오르며 부리로 두드려 곤충이나 수액을 찾습니다.,Jean,draft,219_Black_Woodpecker_VO_1.wav,1,Black Woodpecker. Tree holes made by this bird provide homes for other species.,75
220,Parrot Crossbill,앵무,앵무입니다. 강한 부리와 사회적인 행동이 특징인 지능적인 새입니다.,Jean,draft,220_Parrot_Crossbill_VO_2.wav,2,Parrot Crossbill. The Parrot Crossbill is one of only five bird species in the world with a crossed bill.,75
221,European Bee Eater,europeanbeeeater새,europeanbeeeater새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,221_European_Bee_Eater_VO_1.wav,1,European Bee Eater. Honey bees make up approximately three-quarters of this bird's diet.,75
222,Black Headed Gull,검은머리갈매기,검은머리갈매기입니다. 바다와 호수 주변에서 생활하며 물고기와 작은 수생 동물을 노립니다.,Jean,draft,222_Black_Headed_Gull_VO_1.wav,1,Black Headed Gull. This species is an opportunistic feeder that will consume anything from scraps to fish.,75
223,Long Tailed Tit,longtailedtit새,longtailedtit새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,223_Long_tailed_Tit_VO_1.wav,1,"Long tailed Tit. Long tailed Tit nests are an elaborate ball made from lichen, moss, and spider webs.",75
224,Common Blackbird,일반검은새,일반검은새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,224_Common_Blackbird_VO_1.wav,1,Common Blackbird. This bird was made world famous by the Beatles.,75
225,Snowy Owl,흰올빼미,"흰올빼미입니다. 밤에 활동하는 맹금류로, 조용히 날아 먹이를 찾는 습성이 두드러집니다.",Jean,draft,225_Snowy_Owl_VO_1.wav,1,"Snowy Owl. These birds can eat 1,600 lemmings a year.",75
226,Red Knot,붉은knot새,붉은knot새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,226_Red_Knot_VO_1.wav,1,Red knot. This bird has one of the longest migrations from the High Arctic to Chile and South Africa.,75
227,Black Tailed Godwit,검은tailed갓윗새,검은tailed갓윗새입니다. 해안과 습지 가장자리에서 긴 부리로 작은 먹이를 찾아냅니다.,Jean,draft,227_Black_Tailed_Godwit_VO_2.wav,2,Black Tailed Godwit. These birds are protected from hunting in much of Europe due to population declines.,75
228,Corsican Nuthatch Xv,corsican동고비,corsican동고비입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,228_Corsican_Nuthatch_VO_1.wav,1,Corsican Nuthatch. This vulnerable species is found only on the island of Corsica where it feeds on pine seeds.,75
229,European Turtle Dove,europeanturtle비둘기,europeanturtle비둘기입니다. 부드러운 울음소리와 씨앗을 먹는 습성이 잘 알려진 새입니다.,Jean,draft,229_European_Turtle_Dove_VO_1.wav,1,European Turtle Dove. Turtle doves are a symbol of love in the Song of Solomon and the 12 Days of Christmas.,75
230,Little Bustard,작은bustard새,작은bustard새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,230_Little_Bustard_VO_2.wav,2,Little Bustard. Males have extensive mating displays involving foot stamping and aerial leaps.,75
231,Yellowhammer,yellowhammer새,yellowhammer새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,231_Yellowhammer_VO_1.wav,1,Yellowhammer. The Yellowhammer song influenced works by Robert Burns and Beethoven.,75
232,White Wagtail,흰wagtail새,흰wagtail새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,232_White_Wagtail_VO_2.wav,2,White Wagtail. The White Wagtail is the national bird of Latvia.,75
233,Moltonis Warbler,moltonis워블러,moltonis워블러입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,233_Moltonis_Warbler_VO_1.wav,1,Moltonis Warbler. Moltoni was a 20th century Italian ornithologist.,75
234,Goldcrest,goldcrest새,goldcrest새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,234_Goldcrest_VO_1.wav,1,Goldcrest. Legends said these tiny birds would hitch a ride in the tail feathers of eagles or owls.,75
235,Common Moorhen 281025Xc,일반moorhen281025xc새,일반moorhen281025xc새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,235_Common_Moorhen_VO_1.wav,1,"Common Moorhen. Moorhens may build nests floating in the water, on the ground, or in a bush.",75
236,Short Toed Treecreeper,shorttoedtreecreeper새,shorttoedtreecreeper새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,236_Short_Toed_Treecreeper_VO_1.wav,1,Short Toed Treecreeper. This bird uses its long beak to feed on insects hidden in tree bar crevices.,75
237,Eleonoras Falcon,eleonoras매,eleonoras매입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,237_eleonoras_Falcon_VO_1.wav,1,Eleonoras Falcon. Eleonora of Arborea was the first European ruler to outlaw hunting bird nests in 1392.,75
238,Northern Gannet,북부gannet새,북부gannet새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,238_Northern_Gannet_VO_1.wav,1,"Northern Gannet. Northern Gannets are spectacular divers, piercing water at speeds up to 100 kilometers per hour.",75
239,Eurasian Sparrowhawk,유라시아sparrowhawk새,유라시아sparrowhawk새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,239_Eurasian_Sparrowhawk_VO_1.wav,1,Eurasian Sparrowhawk. Sparrowhawk populations declined with the introduction of agricultural insecticides.,75
240,Northern Goshawk,북부goshawk새,북부goshawk새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,240_Northern_Goshawk_VO_1.wav,1,"Northern Goshawk. In the Middle Ages, only nobles were allowed to use goshawks and falconry.",75
241,Eastern Imperial Eagle,동부imperial수리,동부imperial수리입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,241_Eastern_Imperial_Eagle_VO_1.wav,1,"Eastern Imperial Eagle. This was the heraldic bird of several monarchies, but very few of them remain.",75
242,Bonellis Eagle,bonellis수리,bonellis수리입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,242_Bonellis_Eagle_VO_1.wav,1,"Bonellis Eagle. These eagles will eat over 200 animal species, but rely heavily on rabbits, partridges and pigeons.",75
243,Montagus Harrier,montagus개구리매,montagus개구리매입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,243_Montagus_Harrier_VO_1.wav,1,"During breeding season, this species will perform aerial dances that are unique to each bird.",60
244,Common Buzzard 619710Xc,일반buzzard619710xc새,일반buzzard619710xc새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,244_Common_Buzzard_VO_1.wav,1,"Common Buzzard. Male buzzards make a spectacular breeding display, flying high, then spiraling down over and over.",75
245,Red Kite,붉은솔개,붉은솔개입니다. 날카로운 시야와 강한 날개로 하늘을 누비는 맹금류입니다.,Jean,draft,245_Red_Kite_VO_1.wav,1,"When threatened, Red Kite mothers will signal for their young to play dead.",75
246,Eurasian Hobby,유라시아hobby새,유라시아hobby새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,246_Eurasian_Hobby_VO_1.wav,1,Eurasian Hobby. This falcon catches insects and birds in flight.,75
247,European Goldfinch,europeangoldfinch새,europeangoldfinch새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,247_European_Goldfinch_VO_1.wav,1,European Goldfinch. This goldfinch is depicted in hundreds of Italian Renaissance paintings.,75
248,Snow Bunting,snow멧새,snow멧새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,248_Snow_Bunting_VO_1.wav,1,Snow Bunting. Male snow buntings fly north early to find suitable nesting sites in the harsh Arctic climate.,75
249,Hooded Crow,두건까마귀,두건까마귀입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,249_Hooded_Crow_VO_1.wav,1,Hooded Crow. The Hooded Crow is associated with fairies and Celtic folklore.,75
250,Eurasian Collared Dove,유라시아collared비둘기,유라시아collared비둘기입니다. 부드러운 울음소리와 씨앗을 먹는 습성이 잘 알려진 새입니다.,Jean,draft,250_Eurasian_Collared_Dove_VO_1.wav,1,"Eurasian Collared Dove. In Greek myth, this mournful sounding bird was once a servant who complained about her wages.",75
251,Common Starling,일반찌르레기,일반찌르레기입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,251_Common_Starling_VO_1.wav,1,Common Starling. Large flocks of starlings move in unison. The flock is called a murmuration.,75
252,Common Swift 491117Xc,일반칼새,일반칼새입니다. 하늘을 빠르게 날며 날아다니는 곤충을 잡아먹습니다.,Jean,draft,252_Common_Swift_VO_1.wav,1,"Common Swift. Swifts stay in the air for months between breeding. The name Apis means incorrectly, no feet.",75
253,House Sparrow,집참새,집참새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,253_House_Sparrow_VO_1.wav,1,House Sparrow. This bird diverged genetically around the time agriculture developed.,75
254,Ruff,ruff새,ruff새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,254_Ruff_VO_1.wav,1,"Ruff. During breeding season, male ruffs grow showy colors that can be black, white, or brown.",75
255,Greater Flamingo,큰flamingo새,큰flamingo새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,255_Greater_Flamingo_VO_1.wav,1,Greater Flamingo. A Greater Flamingo at the Adelaide Zoo in Australia lived to be at least 83 years old.,75
256,Audouins Gull,audouins갈매기,audouins갈매기입니다. 바다와 호수 주변에서 생활하며 물고기와 작은 수생 동물을 노립니다.,Jean,draft,256_Audouins_Gull_VO_1.wav,1,"Audouins Gull. The population of Audouins Gulls is recovering nicely from a low of about 1,000 pairs in the 1960s.",75
257,Common Chaffinch,일반chaffinch새,일반chaffinch새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,257_Common_Chaffinch_VO_2.wav,2,Common Chaffinch. All male Chaffinch flocks are common in winter. They're nicknamed bachelor birds.,75
258,Common Chiffchaff,일반chiffchaff새,일반chiffchaff새입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,258_Common_Chiffchaff_VO_1.wav,1,Common Chiffchaff. The Chiffchaff's name comes from its song said to announce the arrival of spring.,75
259,Greylag Goose,greylag기러기,greylag기러기입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,259_Greylag_Goose_VO_1.wav,1,"Greylag Goose. The Greylag Goose was once linked to divine figures such as Ra, Aphrodite, and Ishtar.",75
260,Cettis Warbler,cettis워블러,cettis워블러입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,260_Cettis_Warbler_VO_1.wav,1,"These birds often hide in deep brush, but reveal themselves with a loud song.",60
261,Eurasian Green Woodpecker,유라시아초록딱따구리,유라시아초록딱따구리입니다. 나무줄기를 타고 오르며 부리로 두드려 곤충이나 수액을 찾습니다.,Jean,draft,261_Eurasian_Green_Woodpecker_VO_1.wav,1,"Eurasian Green Woodpecker. Unlike other woodpeckers, this bird feeds mainly on the ground.",75
262,Abbotts Booby,abbotts부비,abbotts부비입니다. 바다와 호수 주변에서 생활하며 물고기와 작은 수생 동물을 노립니다.,Jean,draft,262_Abbotts_Booby_VO_1.wav,1,Abbotts Booby. This large endangered seabird lives only on Christmas Island.,75
263,Australasian Pipit Xc537877 1 Call 1,australasian밭종다리,australasian밭종다리입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,263_Australasian_Pipit_VO_1.wav,1,Australasian pipit. This grassland bird also thrives in human-made grasslands like gardens and playing fields.,75
264,Australasian Shoveler,australasian넓적부리,australasian넓적부리입니다. 물가에서 생활하며 헤엄과 잠수를 활용해 먹이를 찾습니다.,Jean,draft,264_Australasian_Shoveler_VO_1.wav,1,"Australasian Shoveler. This bird's maurie name, Kuruwangi, means snuffle.",75
265,Australian Ibis,australian따오기,australian따오기입니다. 습지와 얕은 물가에서 긴 다리와 부리를 활용해 먹이를 찾습니다.,Jean,draft,265_Australian_Ibis_VO_1.wav,1,"Australian Ibis. In urban areas, this bird is nicknamed bin chicken for its habit of eating trash.",75
266,Australian Magpie,australian까치,australian까치입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,266_Australian_Magpie_VO_1.wav,1,Australian Magpie. These territorial birds will swoop at humans who get too close to their nests.,75
267,Australian Owlet Nightjar,australian올빼미,australian올빼미입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,267_Australian_Owlet_Nightjar_VO_1.wav,1,"Australian Owlet Nightjar. This small nocturnal bird is also known as the moth owl, but it is not an owl.",75
268,Australian Raven,australian큰까마귀,australian큰까마귀입니다. 영리하고 적응력이 뛰어나며 다양한 먹이를 활용하는 새입니다.,Jean,draft,268_Australian_Raven_VO_1.wav,1,Australian Raven. Ravens will cash extra food under debris in grass tussocks or in the soil.,75
269,Australian Reed Warbler,australianreed워블러,australianreed워블러입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,269_Australian_Reed_Warbler_VO_1.wav,1,Australian Reed Warbler. These birds like to perch on dense vertical wetland vegetation like reeds and rushes.,75
270,Australian Shelduck,australian혹부리오리,australian혹부리오리입니다. 서식지에 맞게 독특한 먹이 활동과 행동을 보여 주는 새입니다.,Jean,draft,270_Australian_Shelduck_VO_1.wav,1,"Australian Shelduck. These birds nest in tree cavities, holes in banks, or similar locations.",75
271,Australian Zebra Finch,australianzebra되새,australianzebra되새입니다. 작은 몸집과 뚜렷한 울음소리로 숲과 초원에서 존재감을 드러냅니다.,Jean,draft,271_Australian_Zebra_Finch_VO_1.wav,1,"Australian Zebra Finch. Zebra finches will nest in colonies of as many as 50, building round nests with a side entrance.",75
